Customer ID,Churn Category
5473-KHBPS,1
8871-JLMHM,0
4139-JPIAM,0
7964-VEXDG,0
8413-VONUO,0
2805-AUFQN,0
3714-JTVOV,5
5788-YPOEG,0
1217-VASWC,3
1970-KKFWL,1
8631-WUXGY,4
3694-DELSO,0
1820-TQVEV,0
2041-JIJCI,1
9337-SRRNI,0
4554-YGZIH,1
5482-NUPNA,0
0017-DINOC,0
0356-ERHVT,0
1060-ENTOF,1
8722-NGNBH,0
5846-QFDFI,0
3249-VHRIP,0
4378-BZYFP,4
8999-XXGNS,5
9906-NHHVC,0
4702-IOQDC,5
5982-XMDEX,0
6421-SZVEM,0
6655-LHBYW,5
4003-FUSHP,5
6646-VRFOL,0
2419-FSORS,0
7538-GWHML,0
7771-ZONAT,0
9057-SIHCH,0
8042-RNLKO,0
2252-ISRNH,0
8182-BJDSI,0
2519-ERQOJ,0
3249-ZPQRG,0
5204-HMGYF,0
5419-KLXBN,2
0691-JVSYA,0
1104-FEJAM,0
7384-GHBPI,0
0322-YINQP,0
5919-VCZYM,0
9817-APLHW,0
6340-DACFT,0
4111-BNXIF,0
7854-FOKSF,4
8295-FHIVV,4
3199-NPKCN,0
3523-BRGUW,3
2845-HSJCY,0
1568-BEKZM,0
4254-QPEDE,0
1133-KXCGE,3
1564-NTYXF,0
7825-ECJRF,0
2347-WKKAE,0
1614-JBEBI,0
8646-JCOMS,3
9381-NDKME,0
6959-GQEGV,0
8990-YOZLV,0
7758-XKCBS,0
7929-DMBCV,1
0727-IWKVK,0
0464-WJTKO,1
4163-KIUHY,1
8356-WUAOJ,0
2361-UPSND,0
7825-GKXMW,1
9185-TQCVP,0
5124-EOGYE,2
4737-AQCPU,0
9408-HRXRK,0
7225-CBZPL,0
5382-TEMLV,0
6813-GZQCG,0
8286-AFUYI,0
9210-IAHGH,0
4568-TTZRT,0
6598-KELSS,0
8910-ICHIU,0
6358-LYNGM,1
5692-FPTAH,0
8076-FEZKJ,1
6211-WWLTF,3
3259-FDWOY,0
6582-OIVSP,2
6490-FGZAT,0
5802-ADBRC,0
2292-XQWSV,0
0191-EQUUH,0
1716-LSAMB,0
8910-LEDAG,3
9620-ENEJV,0
3623-FQBOX,0
5474-LAMUQ,0
2595-KIWPV,0
9975-GPKZU,0
0187-QSXOE,0
9233-PSYHO,0
1269-FOYWN,5
3923-CSIHK,0
9200-NLNPD,0
7317-GGVPB,0
9068-FHQHD,0
9700-ZCLOT,0
5229-PRWKT,0
3594-KADLU,0
2662-NNTDK,0
2242-MFOTG,0
7977-HXJKU,0
8584-KMVXD,0
2002-MZHWP,3
2320-YKQBO,0
6857-TKDJV,0
0376-OIWME,0
6661-HBGWL,0
1704-NRWYE,0
2207-RYYRL,0
3557-HTYWR,0
8735-IJJEG,0
2455-USLMV,3
1545-ACTAS,0
2703-AMTUL,0
6861-OKBCE,0
3933-DQPWX,4
6507-DTJZV,0
5639-NTUPK,0
7901-HXJVA,0
4855-SNKMY,0
2740-TVLFN,0
5921-NGYRH,5
1004-NOZNR,0
2773-OVBPK,0
5832-EXGTT,2
3580-HYCSP,0
9150-KPBJQ,3
6101-IMRMM,4
9448-REEVD,0
4789-KWMXN,0
5438-QMDDL,0
7596-ZYWBB,0
8707-HOEDG,0
6810-VCAEX,3
1676-MQAOA,2
8835-VSDSE,0
8648-PFRMP,5
4607-CHPCA,0
9239-GZHZE,0
3178-CIFOT,1
0491-KAPQG,0
3658-KIBGF,0
1310-QRITU,1
2430-USGXP,1
1618-CFHME,3
4829-ZLJTK,5
5135-GRQJV,0
5146-CBVOE,0
7359-SSBJK,1
8148-NLEGT,0
3165-HDOEW,0
3331-HQDTW,0
6648-INWPS,2
5928-QLDHB,0
1866-RZZQS,0
4581-LNWUM,0
0323-XWWTN,0
2904-GGUAZ,0
