Customer ID,Gender,Age,Married,Number of Dependents,Zip Code,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
4086-ATNFV,Male,64.0,,0.0,93262.0,1.0,No,0.0,1.0,Offer E,No,0.0,No,Yes,DSL,7.0,No,No,No,No,No,,No,Yes,Month-to-Month,,Bank Withdrawal,24.25,24.25,,0.0,,24.25
9943-VSZUV,Male,36.0,No,0.0,,2.0,No,,3.0,None,No,,No,Yes,DSL,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.75,66.95,,0.0,0.0,
5277-ZLOOR,Male,25.0,Yes,2.0,96015.0,5.0,Yes,2.0,,None,No,0.0,No,Yes,DSL,,No,Yes,Yes,No,Yes,,No,Yes,One Year,No,Credit Card,46.4,812.4,0.0,0.0,0.0,812.4
7326-RIGQZ,Female,,,0.0,94533.0,3.0,No,0.0,1.0,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,,Mailed Check,80.2,80.2,0.0,0.0,1.23,81.43
5060-TQUQN,Male,53.0,No,0.0,,3.0,No,0.0,15.0,Offer D,Yes,10.12,Yes,Yes,,15.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.7,,0.0,0.0,151.79999999999998,1718.55
3620-MWJNE,Male,,Yes,,93235.0,4.0,Yes,3.0,,None,Yes,2.15,,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.35,697.65,45.07,0.0,79.55,732.1299999999999
3936-QQFLL,Female,26.0,Yes,2.0,94025.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675-YDUPJ,Male,53.0,No,0.0,,4.0,No,0.0,18.0,None,No,0.0,No,Yes,DSL,30.0,Yes,No,Yes,,No,No,No,Yes,Month-to-Month,No,,33.6,550.35,0.0,0.0,0.0,550.35
2428-ZMCTB,,,,,92122.0,,,,4.0,Offer E,,28.77,Yes,Yes,Fiber Optic,19.0,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,371.9,,0.0,115.08,486.98
5542-NKVRU,Male,55.0,No,0.0,95545.0,3.0,No,0.0,,Offer B,Yes,,Yes,Yes,,12.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,69.4,4237.5,0.0,0.0,2550.06,6787.56
