Customer ID,Gender,Age,Married,Number of Dependents,Zip Code,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer A,Offer B,Offer C,Offer D,Offer E,Cable,DSL,Fiber Optic,Month-to-Month,One Year,Two Year,Bank Withdrawal,Credit Card,Mailed Check
4086-ATNFV,1.0,64.0,0.03558001029433887,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1483270266232551,0.0,1.0,0.58294494062947,24.25,24.25,-8.524832452689754,0.0,-8.544677763321854,24.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9943-VSZUV,1.0,36.0,0.0,0.0,4.693554293465759,2.0,0.0,-0.82268022435801,3.0,0.0,9.926248238676383,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.75,66.95,-2.3492756596865307,0.0,0.0,69.31450711636077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5277-ZLOOR,1.0,25.0,1.0,2.0,3.0,5.0,1.0,2.0,27.25696167200873,0.0,0.0,0.0,1.0,43.612246159500046,0.0,1.0,1.0,0.0,1.0,0.1066147369618628,0.0,1.0,0.0,46.4,812.4,0.0,0.0,0.0,812.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7326-RIGQZ,0.0,28.058940706363536,0.03334566789425098,0.0,4.0,3.0,0.0,0.0,1.0,1.0,1.23,1.0,1.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7957906001892768,80.2,80.2,0.0,0.0,1.23,81.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5060-TQUQN,1.0,53.0,0.0,0.0,3.9829037538124528,3.0,0.0,0.0,15.0,1.0,10.12,1.0,1.0,15.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,99.7,1566.7826952006203,0.0,0.0,151.79999999999998,1718.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3620-MWJNE,1.0,41.916563511600465,1.0,1.0544542380589037,4.0,4.0,1.0,3.0,32.91580942384465,1.0,2.15,0.20617168613177228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35,697.65,45.07,0.0,79.55,732.1299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3936-QQFLL,0.0,26.0,1.0,2.0,2.0,5.0,0.9687793642624507,4.948926779119249,36.59835025279338,0.9462357105486241,22.118740664534222,0.3335084821598474,0.4519715276374735,28.54992778900441,0.18538657226298144,0.3493823418101437,0.3382631117575364,0.3022716453311257,0.4386923062055379,0.3956554061925416,0.4913369605340948,0.36414435175109783,0.4047672359249076,52.50644410114531,2276.3135359681423,1.933989558252189,6.400932161999296,776.2234695603462,3057.0083741666335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3675-YDUPJ,1.0,53.0,0.0,0.0,3.648981439414613,4.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,1.0,0.4645246471853789,0.0,0.0,0.0,1.0,0.0,33.6,550.35,0.0,0.0,0.0,550.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2428-ZMCTB,0.4984565489538342,31.1259709814665,0.38572724880703907,-0.892909915022065,27.0,2.5691654244707722,0.3939695576083479,0.7180823690470801,4.0,1.04376382032817,28.77,1.0,1.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,84.8,371.9,-0.04541409519865591,0.0,115.08,486.98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5542-NKVRU,1.0,55.0,0.0,0.0,4.0,3.0,0.0,0.0,69.4962092989272,1.0,40.13455282057348,1.0,1.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,69.4,4237.5,0.0,0.0,2550.06,6787.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
