Customer ID,Gender,Age,Married,Number of Dependents,Zip Code,Satisfaction Score,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer A,Offer B,Offer C,Offer D,Offer E,Cable,DSL,Fiber Optic,Month-to-Month,One Year,Two Year,Bank Withdrawal,Credit Card,Mailed Check
0650-BWOZN,1.0,37.0,0.0530396755809396,0.0,5.38117283069441,1.0,0.0,0.0,35.0,1.0,25.37922427808585,0.0,1.0,16.0,0.0,0.2037031319690522,1.0,0.0,1.0,0.0452459561268013,0.0,1.0,1.0,85.15,3030.6,0.0,0.0,892.85,3923.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0562-FGDCR,0.5047429100066059,54.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.259833656487477,0.0,-0.2367454660742539,0.9651906776977,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,35.9,35.9,0.0,0.0,0.0,35.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6688-UZPWD,1.0,42.42988613347477,1.0142373864201266,1.1888743552331194,3.0,4.054183205784217,1.0,4.0,35.0,1.0,41.02,0.0,0.0,4.080377113250503,0.0,0.0,0.0,0.0,0.0480129744331483,0.0,0.0,0.0,0.2884740765698868,20.05,746.75,0.0058079259048569,0.0,1435.7,2182.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2905-KFQUV,1.0,23.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,21.58,0.0,0.6808350742680868,71.0,0.0,0.0,1.0,0.0899675041727557,0.4791369200426194,0.84247679745216,1.0,0.0,0.6788079027734464,74.65,544.55,0.0,10.0,151.07977890621362,705.6099999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9720-JJJOR,0.0,41.0,1.0,0.0,4.0,4.709617834178942,1.0,8.0,68.0,1.0,17.12,1.0,0.0,0.0,0.0,0.0,0.0,0.1064216346478365,0.0,0.0,0.0,0.0,0.0,25.8,1911.5,0.0,0.0187497674124833,1164.16,3075.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5236-PERKL,0.5045522583589865,22.0,0.0,0.0,5.496197066920057,1.8672731014742583,0.0,0.0,2.0,1.0,27.663983299444176,1.5554305995609825,1.0,27.0,0.0,0.0,0.980589996455317,0.0,1.0,0.0,1.0,1.0,1.0,85.65,181.5,0.0,0.0,80.86,262.36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3279-DYZQM,0.0,32.0,0.0,0.0,4.681388082630825,3.279487121288118,-4.678220838122416e-05,0.1168994202949866,32.077180302510016,0.9628628908808744,23.73142488560197,0.354498201939511,0.5321794258748634,20.08810217030532,0.2574021819121947,0.3028474425649273,0.3175395890437279,0.2824114963548761,0.44939615557574,0.4181258037732603,0.4659237305039413,0.4354125068558445,0.5165766685474514,56.9569921301298,2139.3826758767214,1.6712829748286382,6.021265965247127,765.1861881002216,2908.922689390427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996-ZNWYK,0.5053710562452268,44.289115587313226,0.9779519000024336,0.8141792310825708,5.0,3.0,1.0,10.0,16.0,1.0,20.12,0.0,1.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0977957627585613,1.0,0.0,68.25,1114.85,0.0,0.0,321.92,1436.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9500-LTVBP,0.0,46.0,1.0,0.5023334642646746,3.776956808390372,3.0,1.0,3.0,15.032548905369396,1.0,25.09,1.0,1.0,17.0,1.0,-0.7375433032285746,1.0,0.0,1.0,1.0,1.0,1.0127414729333324,0.0,78.85,876.75,0.0,0.0,301.08,1177.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5229-PRWKT,0.0,49.0,1.0,0.0,3.725898303984884,5.0,0.977355807001137,4.559302813602743,36.54160409618365,0.9505251407017888,22.296154583417184,0.3818997110296794,0.5199523594613334,7.9351773944435955,0.0839400258915611,0.3500519567127066,0.3531486863446197,0.281475762858059,0.5001919878703651,0.4651907671954048,0.3670247173003916,0.4255708876228581,0.5288329744756838,56.74747377637672,2362.4092879095283,2.27338273501132,6.79177577676555,782.4192733090132,3149.3439311612574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
